mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
34.48068718910217,5.269781987457115,11.451294136047363,0.5305075697059523,10,5,1,2,50,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.9344218269771623,0.932736397920273,0.934493473101859,0.93297931573826,0.9318713081497971,0.9333004643774704,0.001014348937610164,449
59.54888963699341,1.3266647776035019,10.644019317626952,0.7123383022310925,10,5,1,2,100,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9346881392333951,0.932331654230908,0.9343389086734291,0.9333885667025688,0.9329971898285795,0.9335488917337761,0.000864147889720794,438
106.26077075004578,0.6409724682678333,10.057568883895874,0.7069384997321416,10,5,1,2,200,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9349981931597069,0.9321271247546101,0.9339239713622531,0.9334840825290343,0.9332944279601055,0.9335655599531419,0.0009306066399286035,437
36.39556245803833,3.1232434765322266,12.293917179107666,0.4631468085574189,10,5,1,5,50,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.9340677743650828,0.9334949031890944,0.9339583204575478,0.9350025511556206,0.9311240745685486,0.9335295247471788,0.0012985202675759604,439
60.016330289840695,0.858276515246893,11.245750331878662,0.7711701927193437,10,5,1,5,100,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9341027144978985,0.9330932796900611,0.9341452848623767,0.9340902565056469,0.9317891221364503,0.9334441315384867,0.0009170581346446983,444
105.27970824241638,0.933845296631285,10.565939235687257,1.4218678145539605,10,5,1,5,200,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9345405482241446,0.9329204451471539,0.9341243335843487,0.9340571344852037,0.9325151314230167,0.9336315185727735,0.0007748930419592059,435
38.41483316421509,1.9438198135584643,12.400329446792602,0.9057691273077365,10,5,1,10,50,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.935721454309014,0.9343149542122069,0.9341650490679932,0.9333201955319275,0.9326658736182907,0.9340375053478864,0.001031972514192012,433
62.68947906494141,0.974813151849522,11.223083734512329,0.6890352503675571,10,5,1,10,100,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.934760940677341,0.9333079567853638,0.9340821540113946,0.9332139680520511,0.9325270651509742,0.9335784169354249,0.0007698604676086198,436
107.90836935043335,1.0377030781791168,11.033237791061401,3.2130261661488224,10,5,1,10,200,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.9348176661399765,0.9333830603666825,0.9347756833166824,0.9335951183022164,0.9324002014122863,0.9337943459075688,0.0009124356105702805,434
36.81917028427124,1.09104996927623,12.04309573173523,1.00826291355369,10,5,1,20,50,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 50}",0.9336390821968554,0.9317260462888237,0.933062861834572,0.9330771657071082,0.9323686654885949,0.932774764303191,0.0006612439699327717,476
65.61867165565491,1.3621173575078838,9.157104969024658,1.5242071716452477,10,5,1,20,100,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 100}",0.9335447744401214,0.9323212075936633,0.933482150411175,0.9334761680462508,0.9319623987063211,0.9329573398395065,0.0006759083291325443,465
109.27699036598206,1.5683735734100435,11.490004634857177,3.1404372279151684,10,5,1,20,200,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 200}",0.9344515927941274,0.9323771910086516,0.9341054374316833,0.933789019130167,0.932631540523972,0.9334709561777202,0.0008205266067122331,443
37.44843020439148,2.970030477630005,12.641773128509522,2.0766648124331852,10,5,5,2,50,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.9341018784468642,0.9318043030624868,0.9336411591107058,0.9339190570624809,0.932324089769476,0.9331580974904027,0.0009199411638521265,455
65.71753563880921,0.4273759541208332,8.032438564300538,0.6605971408100798,10,5,5,2,100,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.9340541695346167,0.9322826802434949,0.9336998096883908,0.9339346030107836,0.9324852135980294,0.933291295215063,0.0007523002002629736,450
106.18937344551087,1.8741410641648923,10.679570436477661,1.5314686957860417,10,5,5,2,200,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.9343162165304895,0.9325395279112026,0.9342997062820831,0.9340305968664089,0.9323427649086594,0.9335057624997687,0.000877360388308168,440
36.82910103797913,3.4566385997956233,12.367284488677978,1.2672658634956584,10,5,5,5,50,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 50}",0.9341018784468642,0.931804303062487,0.9336411591107058,0.9339190570624809,0.932324089769476,0.9331580974904028,0.0009199411638520938,453
